GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,related to marijuana usage or posession?,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1,0,57,2019,"E GENERAL ROBINSON ST & ANDERSON ST PITTSBURGH, PA ",0,9,20,1,2205,1,6,-80.00074436,40.44895016
1,1,20,2016,"HOWARD ST PITTSBURGH, PA ",34,1,37,1,2509,,,0,0
1,1,19,2016,"600 Block LIBERTY AV PITTSBURGH, PA ",34,1,86,2,201,6,6,-80.00162045,40.44177298
1,1,48,2016,"N BRADDOCK AV & BENNETT ST PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.89038063,40.45503244
0,0,20,2016,"N CRAIG ST & CENTRE AV PITTSBURGH, PA ",37,1,71,4,507,8,3,-79.95201778,40.45188388
1,0,21,2016,"N CRAIG ST & CENTRE AV PITTSBURGH, PA ",37,1,71,4,507,8,3,-79.95201778,40.45188388
1,1,21,2017,"ALLEGHENY RIVER BL & WASHINGTON BL PITTSBURGH, PA ",34,1,25,5,1201,7,2,-79.90784633,40.484269
1,1,18,2017,"5700 Block BAUM BL PITTSBURGH, PA ",34,1,9,5,1115,7,2,-79.93376984,40.45830746
1,1,27,2017,"FT DUQUESNE BL & STANWIX ST PITTSBURGH, PA ",34,1,86,2,201,6,6,-80.0046759,40.44345815
0,1,21,2017,"ALBUM ST & DUNMORE ST PITTSBURGH, PA ",34,1,25,5,1203,9,2,-79.90166078,40.46955629
1,1,40,2017,"WYLIE AV & DUFF ST PITTSBURGH, PA ",34,1,23,2,501,6,3,-79.97250047,40.44776225
1,1,29,2017,"HAMILTON AV & STERRETT ST PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89523069,40.45410506
1,0,29,2016,"6400 Block PENN AV PITTSBURGH, PA ",43,1,54,5,1208,9,2,-79.91742251,40.45756157
1,0,21,2017,"S 18TH ST & WRIGHTS WY PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98051371,40.42922838
1,1,23,2017,"WILKINSBURG AV & FRANKSTOWN AV PITTSBURGH, PA ",34,1,10,5,1306,9,2,-79.87587882,40.45814745
1,0,22,2017,"700 Block CASINO DR PITTSBURGH, PA ",34,1,62,1,2108,6,6,-80.02075781,40.44686778
0,1,27,2017,"VALERA ST & 69 BL PITTSBURGH, PA ",34,1,11,3,2904,4,3,-79.9878394,40.38919714
1,1,27,2017,"SOUTHSIDE RIVERFRONT PARK ACCESS ROAD PITTSBURGH, PA ",34,1,50,3,1706,,,0,0
1,1,27,2017,"SOUTHSIDE RIVERFRONT PARK ACCESS ROAD PITTSBURGH, PA ",37,1,50,3,1706,,,0,0
0,1,23,2017,"COLUMBO ST & DONNA ST PITTSBURGH, PA ",34,1,52,5,1016,9,2,-79.93698675,40.4690623
1,1,34,2017,"WOODS RUN AV & CENTRAL AV PITTSBURGH, PA ",34,1,31,1,2708,1,1,-80.03008676,40.47658521
0,1,29,2017,"1700 Block E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98186901,40.4285852
1,1,30,2017,"1700 Block E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98186901,40.4285852
1,1,19,2017,"BRUSHTON AV & KELLY ST PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88882121,40.45366301
1,1,26,2017,"S 17TH ST & E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98204758,40.42883493
1,0,19,2017,"700 Block ALLEGHENY AV PITTSBURGH, PA ",34,1,62,1,2108,1,1,-80.01824761,40.44971564
1,0,26,2017,"PENN AV & 5TH AV PITTSBURGH, PA ",34,1,67,4,708,8,3,-79.91242362,40.45403729
1,1,23,2017,"S 13TH ST & SARAH ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98529012,40.42765878
1,1,20,2017,"E CARSON ST & S 18TH ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98056196,40.42875859
0,1,31,2017,"N BRADDOCK AV & FINANCE ST PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89252107,40.45067296
1,1,19,2017,"900 Block PENN AV PITTSBURGH, PA ",34,1,86,2,201,6,6,-79.99804356,40.4436107
1,1,21,2017,"1100 Block BROWNSVILLE RD PITTSBURGH, PA ",34,1,11,3,2902,4,3,-79.99089923,40.40493936
1,1,21,2017,"S 18TH ST & WRIGHTS WY PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98051371,40.42922838
1,1,21,2017,"400 Block AVERY ST PITTSBURGH, PA ",34,1,4,1,2304,1,1,-80.00131232,40.45280701
0,1,14,2017,"1800 Block BUENA VISTA ST PITTSBURGH, PA ",37,1,18,1,2614,6,1,-80.01538675,40.45978613
1,1,52,2017,WEBSTER AV,37,1,74,2,506,,,0,0
0,0,41,2017,"S 23RD ST & WRIGHTS WY PITTSBURGH, PA ",34,1,13,3,1609,3,3,-79.97298267,40.42880307
1,1,27,2017,"4800 Block 70 AV PITTSBURGH, PA ",34,1,1,5,809,7,2,-79.9463628,40.46126376
1,1,20,2017,"5500 Block BLACK ST PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.92987748,40.46938767
1,1,18,2017,"5500 Block BLACK ST PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.92987748,40.46938767
1,1,18,2017,"5500 Block BLACK ST PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.92987748,40.46938767
1,1,16,2017,"5500 Block BLACK ST PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.92987748,40.46938767
0,1,28,2017,"200 Block S 9TH ST PITTSBURGH, PA ",34,1,13,3,1702,6,6,-79.99840713,40.44371299
1,0,25,2017,"GRANDVIEW AV & SHILOH ST PITTSBURGH, PA ",34,1,55,3,1903,2,5,-80.00663066,40.43154813
1,0,23,2017,"1700 Block CAREY WY PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98205801,40.42832287
0,1,29,2017,"IDLEWILD ST & COLLIER ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89159786,40.45717015
0,1,26,2017,"4400 Block BROWNS HILL RD PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.92703317,40.41949053
1,1,22,2017,"ST MARKS PL & LYSLE ST PITTSBURGH, PA ",34,1,56,1,2507,6,1,-80.02145219,40.45923638
1,1,28,2017,"2500 Block CHAUNCEY DR PITTSBURGH, PA ",34,1,34,2,509,6,3,-79.97380739,40.45093426
1,1,25,2017,"S 18TH ST & SIDNEY ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98046842,40.42967889
1,0,39,2017,"4800 Block MOSSFIELD ST PITTSBURGH, PA ",37,1,72,2,902,9,2,-79.94677548,40.46952982
1,1,49,2017,"ALSACE ST & BRUSHTON AV PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88976766,40.45160194
0,1,16,2017,"200 Block STANWIX ST PITTSBURGH, PA ",34,1,86,2,201,6,6,-80.00480682,40.43979444
0,0,18,2017,"THREE RIVERS HERITAGE TRAIL & TEMPLE OF THE DOG PITTSBURGH, PA ",34,1,13,3,1702,,,0,0
0,0,18,2017,"THREE RIVERS HERITAGE TRAIL & TEMPLE OF THE DOG PITTSBURGH, PA ",37,1,13,3,1702,,,0,0
1,1,19,2017,"100 Block S 18TH ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98083281,40.42813128
1,1,22,2017,"ROSEDALE ST & HAMILTON AV PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88601633,40.452007
0,0,37,2017,"500 Block 32 AV PITTSBURGH, PA ",34,1,32,4,1501,5,3,-79.93853118,40.41592899
1,1,36,2017,"73 ST & INGLENOOK PL PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88456243,40.45101379
1,0,24,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
1,1,28,2017,"5600 Block BROAD ST PITTSBURGH, PA ",34,1,9,5,1115,9,2,-79.93016071,40.46447547
1,1,33,2017,"CENTRE AV & DINWIDDIE ST PITTSBURGH, PA ",34,1,63,2,305,6,3,-79.98056237,40.4434442
1,1,29,2017,"CENTRE AV & DINWIDDIE ST PITTSBURGH, PA ",34,1,63,2,305,6,3,-79.98056237,40.4434442
0,1,17,2017,"200 Block STANWIX ST PITTSBURGH, PA ",34,1,86,2,201,6,6,-80.00480682,40.43979444
1,1,16,2017,"E ELIZABETH ST & GERTRUDE ST PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.94161511,40.40737235
1,1,19,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
1,1,20,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
0,0,19,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
0,0,17,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
1,0,19,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
1,0,20,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
0,1,45,2017,"1200 Block POINTVIEW ST PITTSBURGH, PA ",34,1,25,5,1203,9,2,-79.90032128,40.46562316
1,0,16,2017,"VINECLIFFE ST &  PITTSBURGH, PA ",34,1,55,3,1914,,,0,0
0,0,17,2017,"10 Block MAYTIDE ST PITTSBURGH, PA ",34,1,11,3,2904,4,3,-79.97831112,40.38439409
1,1,47,2017,"KNOX AV & ZARA ST PITTSBURGH, PA ",34,1,61,3,3001,3,5,-79.99058314,40.41584641
0,0,18,2017,"10 Block MAYTIDE ST PITTSBURGH, PA ",34,1,11,3,2904,4,3,-79.97831112,40.38439409
1,1,36,2017,"CEDAR AV & LOCKHART ST PITTSBURGH, PA ",34,1,12,1,2204,1,1,-80.00131983,40.45214909
1,1,25,2017,"1700 Block CAREY WY PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98205801,40.42832287
1,1,31,2017,"TIOGA ST & ROSEDALE ST PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88683274,40.4500369
1,1,22,2017,"4TH AV & STANWIX ST PITTSBURGH, PA ",34,1,86,2,201,6,6,-80.00438928,40.4405277
1,1,39,2017,"COLLIER ST & IDLEWILD ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89159786,40.45717015
1,1,21,2017,"FRANKSTOWN AV & COLLIER ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89190208,40.45639295
1,1,25,2017,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98342493,40.42881518
1,1,14,2017,"20 Block SOUTHERN AV PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00754877,40.42887958
1,0,23,2017,"SIDNEY ST & S 23RD ST PITTSBURGH, PA ",34,1,13,3,1609,3,3,-79.97294219,40.42923769
1,1,49,2017,"800 Block FREEPORT RD PITTSBURGH, PA ",34,1,25,5,1201,9,2,-79.89761421,40.48782354
0,1,44,2017,"800 Block FREEPORT RD PITTSBURGH, PA ",34,1,25,5,1201,9,2,-79.89761421,40.48782354
1,1,46,2017,"7200 Block MONTICELLO ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89539355,40.45928706
1,1,23,2017,"S 18TH ST & SIDNEY ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98046842,40.42967889
1,1,19,2017,"4900 Block GERTRUDE ST PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.94267127,40.41028476
1,0,32,2017,"MC CLURE AV & RICHARDSON AV PITTSBURGH, PA ",34,1,31,1,2703,1,1,-80.03649489,40.47262058
1,1,0,2017,"400 Block MT PLEASANT RD PITTSBURGH, PA ",34,1,30,1,2609,1,1,-80.00190144,40.47982925
1,1,31,2017,"400 Block N GRAHAM ST PITTSBURGH, PA ",34,1,52,5,1114,7,2,-79.93705213,40.45931694
1,1,21,2017,"E CARSON ST & S 18TH ST PITTSBURGH, PA ",37,1,13,3,1702,3,3,-79.98056196,40.42875859
1,1,16,2017,"400 Block N AIKEN AV PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.93431189,40.46776521
1,3,22,2017,"1200 Block E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98638716,40.42869554
1,1,17,2017,"MAYFLOWER ST & INDIANA WY PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91637417,40.46461913
1,1,19,2017,"MAYFLOWER ST & INDIANA WY PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91637417,40.46461913
1,1,16,2017,"MAYFLOWER ST & INDIANA WY PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91637417,40.46461913
1,1,25,2017,"7200 Block HERMITAGE ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89514952,40.45998957
1,1,29,2017,"1200 Block PINERIDGE ST PITTSBURGH, PA ",34,1,29,5,1301,9,2,-79.88981017,40.45900202
1,1,27,2017,"BAUSMAN ST & GRIMES AV PITTSBURGH, PA ",34,1,61,3,3001,3,5,-79.99297727,40.41429726
0,0,27,2017,"BAUSMAN ST & GRIMES AV PITTSBURGH, PA ",34,1,61,3,3001,3,5,-79.99297727,40.41429726
0,0,34,2017,"E CARSON ST & S 18TH ST PITTSBURGH, PA ",37,1,13,3,1702,3,3,-79.98056196,40.42875859
1,1,25,2017,"VINECLIFFE ST & WYOMING ST PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00647213,40.43051465
0,1,27,2017,"54 AV & BROAD ST PITTSBURGH, PA ",34,1,9,5,1115,9,2,-79.92083206,40.46121375
0,1,35,2017,"85 RD & GOETTMANN ST PITTSBURGH, PA ",34,1,85,1,2406,1,1,-79.98580584,40.45978583
1,1,22,2017,"SARAH ST & S 24TH ST PITTSBURGH, PA ",34,1,13,3,1609,3,3,-79.97142706,40.42728294
1,1,23,2017,"700 Block NEUMAN WY PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88781717,40.45446759
1,1,43,2017,"HILL AV & PITT ST PITTSBURGH, PA ",34,1,45,5,1304,,,-79.88592943,40.4469076
0,1,17,2017,"THISBE WY & BELLMAN WY PITTSBURGH, PA ",34,1,28,5,1106,7,2,-79.92010709,40.4698808
1,1,23,2017,"PITT ST & SUSQUEHANNA ST PITTSBURGH, PA ",34,1,45,5,1304,,,-79.8850298,40.4484907
1,1,20,2017,"S 17TH ST & BINGHAM ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98198295,40.42946086
0,1,39,2017,"300 Block RENOVA ST PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.93705448,40.40243347
0,1,39,2017,"300 Block RENOVA ST PITTSBURGH, PA ",37,1,32,4,1515,5,3,-79.93705448,40.40243347
1,1,48,2017,"300 Block RENOVA ST PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.93705448,40.40243347
1,1,48,2017,"300 Block RENOVA ST PITTSBURGH, PA ",37,1,32,4,1515,5,3,-79.93705448,40.40243347
1,1,35,2017,"KNOX AV & RENTZ WY PITTSBURGH, PA ",34,1,61,3,3001,3,5,-79.99063903,40.41696154
1,1,18,2017,"BRIGHTON RD & ARMANDALE ST PITTSBURGH, PA ",34,1,87,1,2503,6,1,-80.01592073,40.45784981
1,1,39,2017,"ORMSBY ST & 96 ST PITTSBURGH, PA ",34,1,61,3,3001,,,0,0
1,0,29,2017,"CICERO WY & KINGSBORO ST PITTSBURGH, PA ",34,1,60,3,1809,3,5,-79.99846163,40.42172469
1,1,31,2017,"KELLY ST & 5TH AV PITTSBURGH, PA ",34,1,42,5,1207,9,2,-79.90843298,40.45814136
0,1,25,2017,"PAULSON AV & OLIVANT ST PITTSBURGH, PA ",34,1,25,5,1203,9,2,-79.89937856,40.4695246
1,0,17,2017,"1400 Block 7 BL PITTSBURGH, PA ",34,1,7,6,3206,4,5,-80.0078501,40.39236548
1,1,43,2017,"S 18TH ST & E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98056196,40.42875859
1,1,15,2017,"HEMLOCK ST & HAZLIP WY PITTSBURGH, PA ",34,1,87,1,2206,1,1,-80.00674074,40.45737246
1,1,16,2017,"HEMLOCK ST & HAZLIP WY PITTSBURGH, PA ",34,1,87,1,2206,1,1,-80.00674074,40.45737246
1,0,49,2017,"3100 Block FREDERICK ST PITTSBURGH, PA ",34,1,21,1,2715,1,1,-80.03077936,40.47338548
1,1,36,2017,"MEADOW ST & LENORA ST PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91545771,40.46613964
1,1,38,2017,"FRANKSTOWN AV & NEUMAN WY PITTSBURGH, PA ",34,1,29,5,1301,9,2,-79.88753372,40.45539952
1,1,54,2017,"500 Block EAST OHIO ST PITTSBURGH, PA ",34,1,4,1,2304,1,1,-80.00057528,40.45353917
1,1,16,2017,"PORTLAND WY & LIVERY WY PITTSBURGH, PA ",34,1,9,5,1113,9,2,-79.92589298,40.47077495
1,1,29,2017,"RUTH ST & BAILEY AV PITTSBURGH, PA ",34,1,55,3,1807,3,5,-80.00517029,40.42701639
0,3,36,2017,"MISSION ST & STERLING ST PITTSBURGH, PA ",34,1,50,3,1608,3,3,-79.97384711,40.42319721
1,1,22,2017,"800 Block BRUSHTON AV PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88837848,40.45461029
1,0,18,2017,"ENGLISH LANE & BEECHWOOD BL PITTSBURGH, PA ",34,1,46,4,1408,5,3,-79.91533356,40.42988755
1,0,18,2017,"ENGLISH LANE & BEECHWOOD BL PITTSBURGH, PA ",34,1,46,4,1408,5,3,-79.91533356,40.42988755
1,1,35,2017,"S HIGHLAND AV & CENTRE AV PITTSBURGH, PA ",34,1,9,5,1115,8,2,-79.92504327,40.45995389
0,1,19,2017,"LINCOLN AV & LEMINGTON AV PITTSBURGH, PA ",34,1,25,5,1201,9,2,-79.8960471,40.46874903
1,1,15,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,17,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,15,2017,"500 Block LAIMER AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,17,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,27,2017,"S 12TH ST & E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98642219,40.42874965
1,1,31,2017,"HAMILTON AV & N DUNFERMLINE ST PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89424495,40.45388035
